id,name,address,category,location,lat,lng,numReviews,reviews,polarity,details,originalId,subCategory
328882,Trattoria Pizzeria LA ROCCA,"Hildegardstraße 17a, Berlin, Germany",restaurant,Berlin,52.481926,13.320853,,,,http://tour-pedia.org/api/getPlaceDetails?id=328882,,
328883,Aue49 | Kneipe und Sky-Sportsbar,"Berliner Straße 48, Berlin, Germany",restaurant,Berlin,52.486608,13.31758,,,,http://tour-pedia.org/api/getPlaceDetails?id=328883,,
328888,Witwe Bolte,"Uhlandstraße 133, Berlin, Germany",restaurant,Berlin,52.492485,13.323613,,,,http://tour-pedia.org/api/getPlaceDetails?id=328888,,
328889,Ars Vivendi,"Holsteinische Straße 18, Berlin, Germany",restaurant,Berlin,52.490769,13.324972,,,,http://tour-pedia.org/api/getPlaceDetails?id=328889,,
328892,Nori Sushi,"Trautenaustraße 13, Berlin, Germany",restaurant,Berlin,52.491475,13.327076,,,,http://tour-pedia.org/api/getPlaceDetails?id=328892,,
328895,Bellwinkel,"Güntzelstraße 46, Berlin, Germany",restaurant,Berlin,52.491113,13.325856,,,,http://tour-pedia.org/api/getPlaceDetails?id=328895,,
328897,Weinhandlung Bruhn,"Güntzelstraße 46, Berlin, Germany",restaurant,Berlin,52.491113,13.325856,,,,http://tour-pedia.org/api/getPlaceDetails?id=328897,,
328900,Cokolado Florado,"Güntzelstraße 25, Berlin, Germany",restaurant,Berlin,52.491573,13.323919,,,,http://tour-pedia.org/api/getPlaceDetails?id=328900,,
328902,Formaggino,"Nassauische Straße 16A, Berlin, Germany",restaurant,Berlin,52.491568,13.326232,,,,http://tour-pedia.org/api/getPlaceDetails?id=328902,,
328903,Uzen Asia Feinküche,"Holsteinische Straße 40, Berlin, Germany",restaurant,Berlin,52.491057,13.324656,,,,http://tour-pedia.org/api/getPlaceDetails?id=328903,,
328904,Maria Café & Restaurant,"Bundesallee 181, Berlin, Germany",restaurant,Berlin,52.487824,13.331291,,,,http://tour-pedia.org/api/getPlaceDetails?id=328904,,
328905,Champagne&Cie,"Nassauische Straße 24, Berlin-Wilmersdorf, Deutschland",restaurant,Berlin,52.48952,13.3259,,,,http://tour-pedia.org/api/getPlaceDetails?id=328905,,
328906,Steinecke's Heidebrot Backstube GmbH & Co. KG,"Güntzelstraße 23, Berlin, Germany",restaurant,Berlin,52.491528,13.32431,,,,http://tour-pedia.org/api/getPlaceDetails?id=328906,,
328907,Restaurant Guaolelajara,"Berliner Straße 4849, Berlin, Germany",restaurant,Berlin,52.487199,13.329246,,,,http://tour-pedia.org/api/getPlaceDetails?id=328907,,
328908,Happiness-Heart Café,"Güntzelstraße 22, Berlin, Germany",restaurant,Berlin,52.491414,13.325234,,,,http://tour-pedia.org/api/getPlaceDetails?id=328908,,
328909,Fruchtparadies Mesopotamien,"Güntzelstraße 41, Berlin, Germany",restaurant,Berlin,52.491348,13.32381,,,,http://tour-pedia.org/api/getPlaceDetails?id=328909,,
328910,Baileys Irish Pub,"Bundesallee 194B, Berlin, Germany",restaurant,Berlin,52.49195,13.331209,,,,http://tour-pedia.org/api/getPlaceDetails?id=328910,,
328911,Bäckerei Hayko Zeyfiyan Backwaren u. Snacks,"Güntzelstraße 41, Berlin, Germany",restaurant,Berlin,52.491348,13.32381,,,,http://tour-pedia.org/api/getPlaceDetails?id=328911,,
328912,chocolate & more,"Trautenaustraße 12, Berlin, Germany",restaurant,Berlin,52.491962,13.327078,,,,http://tour-pedia.org/api/getPlaceDetails?id=328912,,
328913,Max Sushi,"Holsteinische Straße 40, Berlin, Germany",restaurant,Berlin,52.491076,13.324657,,,,http://tour-pedia.org/api/getPlaceDetails?id=328913,,
328914,Fridas Eis,"Güntzelstraße 44, Berlin, Germany",restaurant,Berlin,52.491173,13.325331,,,,http://tour-pedia.org/api/getPlaceDetails?id=328914,,
328915,Chuchichäschtli - Kleiner Küchenschrank,"Holsteinische Straße 19, Berlin, Germany",restaurant,Berlin,52.491176,13.325303,,,,http://tour-pedia.org/api/getPlaceDetails?id=328915,,
328919,Goldener Stern Restaurant,"Bayerischer Platz 4, Berlin, Germany",restaurant,Berlin,52.489134,13.338982,,,,http://tour-pedia.org/api/getPlaceDetails?id=328919,,
328921,Hörnicke Schlossberg Café,"Berliner Straße 160, Berlin, Germany",restaurant,Berlin,52.487683,13.334242,,,,http://tour-pedia.org/api/getPlaceDetails?id=328921,,
328922,E aktiv markt Sabina Schöppenthau,"Grunewaldstraße 48, Berlin, Germany",restaurant,Berlin,52.488507,13.338532,,,,http://tour-pedia.org/api/getPlaceDetails?id=328922,,
328923,E aktiv markt Jan Stepaniak,"Berliner Straße 2, Berlin, Germany",restaurant,Berlin,52.488123,13.33518,,,,http://tour-pedia.org/api/getPlaceDetails?id=328923,,
328924,Com Dai Dung,"Grunewaldstraße 54, Berlin, Germany",restaurant,Berlin,52.488182,13.337682,,,,http://tour-pedia.org/api/getPlaceDetails?id=328924,,
328925,Kaiser's,"Jenaer Straße 27, Berlin, Germany",restaurant,Berlin,52.490894,13.335625,,,,http://tour-pedia.org/api/getPlaceDetails?id=328925,,
328926,Reformhaus Höfeler,"Bayerischer Platz 7, Berlin, Germany",restaurant,Berlin,52.488705,13.339077,,,,http://tour-pedia.org/api/getPlaceDetails?id=328926,,
328927,Bäcker Wiedemann GmbH,"Grunewaldstraße 49, Berlin, Germany",restaurant,Berlin,52.488454,13.337669,,,,http://tour-pedia.org/api/getPlaceDetails?id=328927,,
328928,Witty's food and nonfood Handeslges. mbH,"Prinzregentenstraße 85, Berlin, Germany",restaurant,Berlin,52.4891,13.33365,,,,http://tour-pedia.org/api/getPlaceDetails?id=328928,,
328929,Phở 12,"Bayerischer Platz 12, Berlin, Germany",restaurant,Berlin,52.489223,13.340676,,,,http://tour-pedia.org/api/getPlaceDetails?id=328929,,
328930,Parviz Parviz Shamsi,"Bayerischer Platz 5, Berlin, Germany",restaurant,Berlin,52.488873,13.339048,,,,http://tour-pedia.org/api/getPlaceDetails?id=328930,,
328931,Konditorei Czerr GmbH & Co.KG,"Grunewaldstraße 57, Berlin, Germany",restaurant,Berlin,52.488525,13.341139,,,,http://tour-pedia.org/api/getPlaceDetails?id=328931,,
328934,Adria Grill,"Berliner Straße 141, Berlin, Germany",restaurant,Berlin,52.486364,13.324299,,,,http://tour-pedia.org/api/getPlaceDetails?id=328934,,
328935,Lidl,"Berliner Straße 26/27, Berlin-Charlottenburg-Wilmersdorf, Deutschland",restaurant,Berlin,52.486656,13.324795,,,,http://tour-pedia.org/api/getPlaceDetails?id=328935,,
328936,Horenstein Klassikschallplatten & Café,"Fechnerstraße 3, Berlin, Germany",restaurant,Berlin,52.486962,13.323667,,,,http://tour-pedia.org/api/getPlaceDetails?id=328936,,
328937,Thürmann,"Berliner Straße 24, Berlin, Germany",restaurant,Berlin,52.486642,13.325721,,,,http://tour-pedia.org/api/getPlaceDetails?id=328937,,
328938,Clichy,"Bundesallee 161, Berlin, Germany",restaurant,Berlin,52.481988,13.330056,,,,http://tour-pedia.org/api/getPlaceDetails?id=328938,,
328939,Ristorante italiano,"Badensche Straße 33, Wilmersdorf, Deutschland",restaurant,Berlin,52.486122,13.329193,,,,http://tour-pedia.org/api/getPlaceDetails?id=328939,,
328940,U-Buffet,"Bundesallee 42, Berlin, Germany",restaurant,Berlin,52.487056,13.330595,,,,http://tour-pedia.org/api/getPlaceDetails?id=328940,,
328941,LPG Naturkost Dilling u Ritter,"Wilhelmsaue 134, Berlin, Germany",restaurant,Berlin,52.485015,13.329238,,,,http://tour-pedia.org/api/getPlaceDetails?id=328941,,
328942,Marienkäfer Partyservice,"Berliner Straße 19, Berlin, Germany",restaurant,Berlin,52.486814,13.327498,,,,http://tour-pedia.org/api/getPlaceDetails?id=328942,,
328944,Kamps Backshop,"Berliner Straße 29, Berlin, Germany",restaurant,Berlin,52.48666,13.324567,,,,http://tour-pedia.org/api/getPlaceDetails?id=328944,,
328945,Salumeria DeGusto,"Hildegardstraße 1, Berlin, Germany",restaurant,Berlin,52.48201,13.328986,,,,http://tour-pedia.org/api/getPlaceDetails?id=328945,,
328946,Backpfeife UG (haftungsbeschränkt),"Bundesallee 48a, Berlin, Germany",restaurant,Berlin,52.484654,13.330544,,,,http://tour-pedia.org/api/getPlaceDetails?id=328946,,
328947,PBK Gaststätten Betriebsgesellschaft mbH,"Wilhelmsaue 6, Berlin, Germany",restaurant,Berlin,52.48547,13.328448,,,,http://tour-pedia.org/api/getPlaceDetails?id=328947,,
328948,Zum Auerhahn Gaststätte,"Wilhelmsaue 8, Berlin, Germany",restaurant,Berlin,52.485282,13.327745,,,,http://tour-pedia.org/api/getPlaceDetails?id=328948,,
328949,"Carmelo Berlinghieri, Antonello Loi","Hildegardstraße 1, Berlin, Germany",restaurant,Berlin,52.481886,13.328993,,,,http://tour-pedia.org/api/getPlaceDetails?id=328949,,
328950,CARTURAN,"Berliner Straße 30, Berlin, Germany",restaurant,Berlin,52.486657,13.323653,,,,http://tour-pedia.org/api/getPlaceDetails?id=328950,,
328951,"Das süße Leben, Inh. Ingrid Lang","Salzburger Straße 7, Berlin, Germany",restaurant,Berlin,52.486816,13.342691,,,,http://tour-pedia.org/api/getPlaceDetails?id=328951,,
328952,Sai-Gon Restaurant,"Kufsteiner Straße 22, Berlin, Germany",restaurant,Berlin,52.485725,13.336435,,,,http://tour-pedia.org/api/getPlaceDetails?id=328952,,
328953,Dujo Restaurant Cafe Cesarra,"Badensche Straße 5, Berlin, Germany",restaurant,Berlin,52.485765,13.340071,,,,http://tour-pedia.org/api/getPlaceDetails?id=328953,,
328954,GVL Gastronomische Versorgungsleistung GmbH,"Prinzregentenstraße 60, Berlin, Germany",restaurant,Berlin,52.481684,13.333105,,,,http://tour-pedia.org/api/getPlaceDetails?id=328954,,
328955,Nahkauf Oelmann,"Badensche Straße 56, Berlin, Germany",restaurant,Berlin,52.485507,13.340629,,,,http://tour-pedia.org/api/getPlaceDetails?id=328955,,
328957,Ratskeller Schmargendorf,"Berkaer Straße 1, Berlin, Germany",restaurant,Berlin,52.4777,13.28801,,,,http://tour-pedia.org/api/getPlaceDetails?id=328957,,
328958,Kaiser's,"Königin-Luise-Straße 37, Berlin, Germany",restaurant,Berlin,52.458397,13.29244,,,,http://tour-pedia.org/api/getPlaceDetails?id=328958,,
328959,Edeka Reichelt Supermarkt,"Wiesbadener Straße 53, Berlin, Germany",restaurant,Berlin,52.47337,13.30244,,,,http://tour-pedia.org/api/getPlaceDetails?id=328959,,
328961,Aldi,"Warnemünder Straße 8, Berlin, Germany",restaurant,Berlin,52.473303,13.290312,,,,http://tour-pedia.org/api/getPlaceDetails?id=328961,,
328963,Edeka Reichelt Supermarkt,"Berkaer Straße 1, Berlin, Germany",restaurant,Berlin,52.476009,13.289982,,,,http://tour-pedia.org/api/getPlaceDetails?id=328963,,
328965,Café Kornfeld Gaststätte,"Königin-Luise-Straße 38, Berlin, Germany",restaurant,Berlin,52.457957,13.292698,,,,http://tour-pedia.org/api/getPlaceDetails?id=328965,,
328969,Der Rioja-Weinspezialist Wilmersdorf,"Reichenhaller Straße 1, Berlin, Germany",restaurant,Berlin,52.477295,13.288925,,,,http://tour-pedia.org/api/getPlaceDetails?id=328969,,
328970,Le Jardin,"Brahmsstraße 10, Berlin, Germany",restaurant,Berlin,52.479983,13.27436,,,,http://tour-pedia.org/api/getPlaceDetails?id=328970,,
328971,Vollkorn-Backhaus & Cafe Leib GmbH,"Breite Straße 14, Berlin, Germany",restaurant,Berlin,52.47454,13.293762,,,,http://tour-pedia.org/api/getPlaceDetails?id=328971,,
328972,Kay Feddersen,"Kirchstraße 1, Berlin, Germany",restaurant,Berlin,52.472451,13.293491,,,,http://tour-pedia.org/api/getPlaceDetails?id=328972,,
328973,Royal Caviar,"Helgolandstraße 4, Berlin, Germany",restaurant,Berlin,52.472691,13.299771,,,,http://tour-pedia.org/api/getPlaceDetails?id=328973,,
328974,Steinecke's Heidebrot Backstube GmbH & Co. KG,"Königin-Luise-Straße 37, Berlin, Germany",restaurant,Berlin,52.458132,13.292349,,,,http://tour-pedia.org/api/getPlaceDetails?id=328974,,
328975,Thürmann,"Wiesbadener Straße 53, Berlin, Germany",restaurant,Berlin,52.47337,13.30244,,,,http://tour-pedia.org/api/getPlaceDetails?id=328975,,
328976,Kaiser's,"Berkaer Straße 3, Berlin, Germany",restaurant,Berlin,52.476288,13.289567,,,,http://tour-pedia.org/api/getPlaceDetails?id=328976,,
328977,Eminent Restaurant & Cafe,"Friedrichshaller Straße 20, Berlin, Germany",restaurant,Berlin,52.476023,13.290756,,,,http://tour-pedia.org/api/getPlaceDetails?id=328977,,
328978,Bäckerei & Konditorei Thürmann,"Karlsbader Straße 17, Berlin, Germany",restaurant,Berlin,52.478534,13.282248,,,,http://tour-pedia.org/api/getPlaceDetails?id=328978,,
328979,Imperial Caviar GmbH,"Rheinbabenallee 14, Berlin, Germany",restaurant,Berlin,52.475182,13.283433,,,,http://tour-pedia.org/api/getPlaceDetails?id=328979,,
328980,Kamps Backshop,"Breite Straße 21, Berlin, Germany",restaurant,Berlin,52.475166,13.291945,,,,http://tour-pedia.org/api/getPlaceDetails?id=328980,,
328981,Robert Lindner GmbH & Co.KG,"Berkaer Straße 4, Berlin, Germany",restaurant,Berlin,52.476553,13.288814,,,,http://tour-pedia.org/api/getPlaceDetails?id=328981,,
328982,Steinecke's Heidebrot Backstube GmbH & Co. KG,"Warnemünder Straße 17, Berlin, Germany",restaurant,Berlin,52.47122,13.289917,,,,http://tour-pedia.org/api/getPlaceDetails?id=328982,,
328983,Pechmann & Schünemann GbR,"Heiligendammer Straße 18, Berlin, Germany",restaurant,Berlin,52.471101,13.290708,,,,http://tour-pedia.org/api/getPlaceDetails?id=328983,,
328984,Magic Bakery UG (haftungsbeschränkt),"Königin-Luise-Straße 97, Berlin, Germany",restaurant,Berlin,52.460191,13.276647,,,,http://tour-pedia.org/api/getPlaceDetails?id=328984,,
